variant,horizon_days,n_periods,annualized_alpha,annualized_return,cagr,information_ratio,sharpe,hit_rate,avg_alpha,max_drawdown,commodity_type,n_tickers
convexity,42,520,0.14929427713265542,0.32132375956517695,0.34069679988368184,0.6194410807641909,1.5728477331939457,0.6384615384615384,0.024882379522109234,-1.6032304391191126,oil_gas_upstream,57
convexity,21,519,0.14842489719843593,0.3151565045483469,0.34234306112768853,0.6626567617067635,1.702136170948981,0.603082851637765,0.012368741433202993,-0.9879610935368959,oil_gas_upstream,57
market_event,63,504,0.1437194813746107,0.3239759766390397,0.3007020027689089,0.40906664983945357,1.022471735550605,0.5773809523809523,0.03592987034365268,-11.583579100278335,oil_services,21
market_only,5,518,0.1419769697282669,0.29757203958293077,0.28778771173940165,0.4516006485224519,0.9842912690174235,0.5077220077220077,0.002817003367624343,-0.8949286379964254,base_metals,38
market_only,63,504,0.1385053320334406,0.3187618272978695,0.3043511042519762,0.41938606463194167,1.0820946056968699,0.5615079365079365,0.03462633300836015,-10.755416445071624,oil_services,21
market_event,21,504,0.137334129323651,0.3090279868923093,0.2894629463336418,0.38858633519228863,0.9567646559958413,0.5476190476190477,0.011444510776970916,-2.8058212852574833,precious_metals,32
full_cross_market,42,504,0.13472477705923705,0.313763594384889,0.308733011641668,0.44004242651831366,1.1176226562246192,0.5674603174603174,0.02245412950987284,-2.6188911657814273,oil_services,21
convexity,21,504,0.12976648754327683,0.30146034511193515,0.2802730162125928,0.3761124050246157,0.9402063883355155,0.5496031746031746,0.010813873961939736,-2.3401695441321824,precious_metals,32
market_event,21,504,0.12125381544369367,0.29294767301235203,0.2658738785824939,0.3501460703059391,0.8907279805014963,0.5654761904761905,0.010104484620307806,-6.13969739273384,oil_services,21
full_cross_market,63,504,0.12030545494220238,0.3005619502066314,0.28295637255560724,0.37428867462695065,1.0177047040160314,0.6031746031746031,0.030076363735550594,-3.8745236959410434,oil_services,21
full_cross_market,21,519,0.11986927049206603,0.286600877841977,0.2989064543402091,0.5032828536388957,1.361240488792455,0.5626204238921002,0.009989105874338836,-1.3060776354972585,oil_gas_upstream,57
convexity,63,504,0.1170368058002673,0.29729330106469626,0.2669472773345565,0.33475703187778605,0.9329138789539678,0.5912698412698413,0.029259201450066826,-10.770125992149204,oil_services,21
full_cross_market,10,504,0.11366539846964513,0.28060590335023083,0.27111044272790563,0.37659133456630606,0.9974598531980803,0.5357142857142857,0.004510531685303378,-1.6932431172751872,oil_services,21
convexity,126,504,0.11346031356969996,0.3101835665770246,0.26638273219515485,0.30168562179721287,0.937490688848398,0.6825396825396826,0.05673015678484998,-20.68639793066454,oil_services,21
market_only,21,504,0.11161891320439396,0.2833127707730523,0.2776373254068809,0.38415317599301807,1.054884880949669,0.5515873015873016,0.009301576100366164,-4.214609962744872,oil_services,21
full_cross_market,21,504,0.10844946504090558,0.280143322609564,0.2511130746872887,0.31692167442833524,0.8637323144107165,0.5853174603174603,0.009037455420075466,-2.0264562471999437,precious_metals,32
market_only,10,504,0.10804146179271805,0.2749819666733038,0.2699039605018245,0.3861752290444699,1.0366472884070952,0.5416666666666666,0.004287359594949129,-1.3410564621187415,oil_services,21
full_cross_market,10,504,0.10803646730272011,0.27497697218330586,0.24989141112766644,0.30544739234199675,0.8598032352284829,0.5238095238095238,0.004287161400901592,-1.2826851264031998,precious_metals,32
market_event,42,504,0.10585635737109203,0.28489517469674386,0.26265907837374747,0.30804080128967676,0.928562233323666,0.5535714285714286,0.01764272622851534,-9.468150459159261,oil_services,21
convexity,5,518,0.10375820549498005,0.259353275349644,0.23649228703538538,0.3201009743072891,0.8367515478586597,0.4922779922779923,0.0020586945534718263,-1.4060364603035502,base_metals,38
